x,y
510.1,261.77
419.88,45.64
225.44,57.57
589.02,109.99
57.74,292.72
288.33,32.3
500.2,183.34
461.56,248.17
515.17,297.75
122.22,191.33
765.79,163.71
795.21,164.97
649.15,144.87
917.91,164.91
550.08,165.26
146.71,239.41
426.13,112.7
645.02,19.99
986.94,131.8
604.68,248.6
759.88,271.36
756.72,285.29
765.64,122.02
550.81,302.87
802.48,170.61
262.4,307.55
250.28,291.34
57.81,175.95
590.28,205.9
693.86,184.89
978.4,83.55
812.75,254.82
570.53,83.81
640.06,285.27
802.07,179.3
402.9,155.91
326.35,317.28
47.98,117.41
433.22,324.41
896.37,58.74
450.24,81.2
231.57,128.51
801.25,164.59
358.91,77.01
55.54,247.67
49.12,276.35
745.41,285.59
197.54,82.55
437.47,68.28
231.07,234.27
407.73,192.77
181.62,325.35
403.7,111.87
613.58,309.27
460.54,265.14
800.65,135.93
574.1,90.14
95.23,248.62
195.15,56.74
644.78,193.82
621.92,301.24
267.27,287.19
547.22,282.05
538.02,334.56
719.16,281.08
169.49,89.68
818.25,243.6
640.26,309.76
281.65,145.21
302.96,160.15
800.2,159.47
39.71,253.15
691.39,277.84
829.25,124.44
109.52,228.2
601.12,200.21
286.15,183.15
103.43,353.97
398.36,75.39
987.92,139.65
489.52,64.19
104.75,269.01
810.36,127.490005
161.53,44.69
796.6,116.41
68.18,304.38
169.9,121.57
974.27,173.08
19.87,298.01
628.03,166.26
773.52,45.19
110.05,171.34
124.39,278.24
491.24,248.27
582.91,242.34
214.46,140.64
425.01,64.59
287.32,193.95
849.25,18.37
562.38,264.91
805.46,258.01
31.060001,106.7
525.01,139.17
736.52,175.27
903.19,39.12
164.19,298.23
691.74,301.14
459.65,62.07
176.93,94.35
303.62,78.08
239.0,115.53
483.84,145.26
780.31,164.84
914.04,144.26
491.92,239.25
823.21,62.53
117.38,121.62
704.49,328.22
766.44,155.21
617.61,97.82
877.66,91.94
981.18,284.78
107.84,191.16
586.98,128.63
668.11,310.85
651.98,318.71
346.41,340.19
850.29,69.82
773.75,119.0
386.87,102.94
706.35,206.46
967.44,231.58
475.4,280.59
808.58,190.29
845.31,120.15
259.4,325.15
386.0,51.59
326.87,176.81
98.99,247.5
695.17,145.89
816.43,72.4
651.3,262.63
99.78,188.71
153.47,51.92
872.03,106.79
187.83,312.6
991.8,203.83
540.06,159.11
590.83,343.75
948.63,219.51
581.61,78.06
434.47,280.96
304.08,122.83
268.99,195.79
701.18,320.95
942.26,170.24
80.65,233.76
954.79,286.89
493.18,241.9
606.44,268.45
536.13,263.76
445.29,49.42
61.79,277.48
256.58,324.14
318.27,291.43
497.76,216.38
442.5,75.17
990.1,145.73
479.14,137.95
828.88,84.15
429.08,207.32
190.61,131.58
557.84,87.07
38.66,270.89
259.12,177.63
454.01,77.62
841.51,171.1
203.26,142.38
758.68,105.56
975.93,161.37
390.24,33.56
485.34,148.17
82.9,316.84
856.33,247.17
164.84,291.84
508.64,241.85
153.01,222.31
305.5,47.66
419.46,178.76
409.38,238.0
690.34,286.8
821.24,66.58
196.62,139.74
674.51,3.8400002
643.6,93.21
367.56,143.87
105.84,169.48
469.87,183.41
86.43,226.75
102.99,204.1
236.09,203.56
946.02,141.12
227.33,37.4
28.62,171.17
405.52,76.51
819.4,128.35
307.19,95.31
332.72,171.43
613.03,126.61
762.89,257.44
469.84,113.05
727.1,88.87
835.41,108.48
670.87,149.18
751.67,131.02
247.55,120.88
50.67,306.31
695.1,173.85
246.61,278.77
690.73,261.68
73.41,157.19
623.15,40.44
858.27,64.65
694.62,214.52
644.2,108.97
89.47,133.94
147.49,299.83
856.26,56.86
602.19,330.33
136.08,201.23
425.78,71.58
1002.42,273.11
938.83,243.85
401.54,132.35
891.97,235.86
417.49,60.08
734.73,69.98
495.74,176.86
62.27,229.53
422.97,143.45
256.97,285.81
970.72,242.4
931.52,93.83
217.37,79.22
955.44,231.58
303.11,39.37
139.25,57.06
801.9,54.64
470.35,304.23
970.36,215.55
557.83,291.66
220.38,37.45
995.35,127.25
364.91,105.8
327.02,41.55
736.69,274.31
130.04,293.99
959.52,287.73
144.73,63.53
501.24,186.96
774.95,127.84
628.8,98.58
300.93,296.05
112.43,275.1
397.56,184.9
396.7,1.0699999
504.54,191.97
599.1,149.2
881.37,77.46
503.03,207.89
936.68,262.66
307.06,63.11
488.0,196.11
967.26,304.15
570.15,68.12
134.04,245.38
194.05,123.47
329.65,212.44
823.37,100.46
348.57,77.1
393.26,121.77
356.22,192.27
655.41,166.73
432.29,3.73
952.3,222.96
670.12,300.68
933.21,254.57
828.56,292.49
134.36,241.38
928.19,237.99
457.3,66.19
825.56,53.33
202.28,271.88
742.63,140.96
970.6,233.58
578.39,63.620003
172.67,42.41
608.84,164.41
156.7,112.24
212.19,114.47
467.48,291.29
313.38,221.48
715.4,224.72
804.0,186.04
331.4,251.98
424.77,281.2
781.56,73.53
11.48,19.43
135.96,190.69
764.2,182.7
840.97,156.92
957.26,146.55
574.27,33.61
66.41,243.48
241.24,316.49
173.51,323.28
306.49,216.66
824.09,43.41
163.48,67.01
153.73,58.52
790.28,103.04
17.42,316.07
777.63,63.1
405.63,175.2
243.42,250.69
51.53,348.08
844.8,153.31
405.94,195.45
702.75,252.76
728.83,128.29
1032.07,92.26
661.58,280.46
1000.24,243.05
506.37,335.48
454.28,46.58
710.7,150.12
832.04,196.34
227.97,41.18
69.68,243.98
576.17,260.79
779.56,158.26
311.66,250.72
141.6,266.31
668.45,124.45
741.63,282.99
939.24,23.53
29.07,286.73
725.52,247.68
464.41,272.41
93.96,323.59
160.3,117.43
123.07,273.53
166.44,326.77
508.04,219.59
660.62,137.43
184.04,160.35
705.9,3.23
552.55,291.89
125.66,289.67
824.49,143.99
114.34,160.97
170.53,49.39
239.02,207.76
128.07,302.98
560.57,98.92
729.01,110.37
586.19,132.46
802.55,161.49
77.64,267.35
322.91,138.95
472.92,271.15
759.41,314.92
928.06,208.33
493.13,169.39
73.36,228.36
952.24,211.07
189.79,168.75
601.26,176.7
281.32,257.0
867.33,111.39
311.55,101.27
446.66,318.2
134.09,211.22
420.03,184.25
247.78,346.96
983.46,141.57
890.63,181.2
598.16,223.59
80.84,251.14
691.21,253.24
970.84,238.54
726.72,234.25
205.7,164.04
661.97,277.28
534.88,253.34
850.75,141.71
276.11,187.55
421.47,176.2
760.52,283.74
394.93,344.43
342.99,44.58
61.61,281.05
902.13,87.49
328.61,200.68
510.59998,248.52
294.81,142.15
219.4,65.52
798.82,212.84
67.72,197.0
614.76,185.1
589.09,158.34
557.89,186.41
184.87,33.56
466.09,212.27
579.02,117.41
410.65,45.28
494.34,310.48
496.28,271.48
511.2,213.46
266.21,56.87
196.51,42.86
620.69,183.58
136.87,314.5
459.61,334.23
226.39,86.44
322.74,269.22
464.64,277.96
964.09,298.36
682.2,66.97
326.2,243.86
303.49,191.61
745.42,251.21
299.64,139.78
401.08,168.18
702.34,242.29
293.78,113.96
625.95,169.72
970.02,204.94
58.64,217.06
491.19,163.47
56.36,43.85
102.32,164.35
322.24,245.87
704.73,315.89
773.34,4.72
999.61,247.79
70.69,111.09
421.47,102.57
995.93,240.13
203.57,353.63
331.82,200.27
181.06,285.82
993.47,219.35
733.54,272.23
574.72,221.11
561.56,147.74
955.77,113.34
760.8,244.39
25.67,77.53
983.96,110.73
182.87,89.83
450.44,335.62
740.68,237.68
511.84003,194.41
968.89,322.07
86.71,271.86
39.18,43.65
77.63,318.09
96.58,269.94
73.09,265.79
777.07,95.27
108.42,220.54
195.21,155.3
228.32,148.44
931.61,101.16
469.96,159.08
170.5,295.06
151.78,85.68
659.6,273.95
421.66,181.33
712.14,305.09
559.59,167.87
190.01,228.42
391.1,131.55
325.45,256.93
661.41,50.79
723.63,274.98
559.76,134.46
636.41,137.42
647.43,203.55
789.34,96.45
264.04,90.69
326.05,158.06
36.55,56.44
420.55,197.1
575.95,73.9
254.12,175.33
639.73,258.54
157.23,52.86
434.31,91.89
490.18,203.4
412.02,220.33
609.03,26.42
451.49,288.63
695.77,262.04
824.69,229.35
820.18,150.56
823.34,73.8
67.92,204.38
692.22,317.08
473.79,313.25
225.58,181.03
831.48,153.19
325.41,86.17
651.13,256.2
217.88,350.17
746.0,203.97
591.02,179.09
143.63,211.68
756.9,269.47
795.55,175.89
1041.03,195.46
548.51,232.64
56.61,139.19
349.68,206.06
847.37,83.69
509.11,210.71
458.88,274.14
416.65,190.23
698.9,215.63
522.38,302.35
942.44,209.28
198.28,32.57
864.54,35.81
424.51,167.32
639.66,281.37
258.81,219.93
639.75,133.17
919.5,186.34
177.2,146.51
217.0,93.51
281.2,328.37
707.63,73.49
176.59,307.22
125.03,178.11
587.04,268.9
481.55,143.45
622.73,90.51
843.89,162.2
965.2,306.18
101.48,215.58
169.57,300.82
364.85,290.03
695.29,180.52
328.02,140.78
931.9,112.86
715.36,231.59
42.62,333.77
469.2,265.84
134.16,87.17
316.35,326.32
214.88,67.89
28.73,252.94
370.37,210.04
142.49,48.29
181.75,105.96
468.62,57.52
390.69,135.31
355.36,274.28
183.06,109.37
238.79,81.67
124.55,281.33
937.35,101.35
366.54,128.01
141.49,262.93
325.23,233.93
320.2,295.17
806.91,176.6
175.24,134.78
106.56,136.84
470.7,165.61
616.04,286.86
198.41,135.14
981.17,349.12
483.86,96.14
451.73,229.62
169.83,259.37
688.03,201.12
221.85,133.47
224.62,209.16
312.59,28.87
245.84,223.52
660.48,233.35
723.99,231.48
98.5,10.68
80.48,255.79001
827.21,74.28
450.45,269.27
452.34,284.55
646.01,61.05
166.1,69.33
760.87,177.03
572.9,340.72
330.53,323.95
538.56,246.41
718.92,239.72
309.8,220.09
580.0,101.33
140.54,312.31
475.07,158.54
977.17,26.87
823.47,245.21
617.98,228.41
481.36,140.49
985.83,151.09
931.39,244.52
470.14,14.58
351.65,17.63
589.3,125.1
623.47,149.71
67.96,122.4
433.27,37.89
292.81,161.6
137.09,247.49
260.43,332.54
200.7,42.11
34.8,334.91
594.57,167.26
664.28,220.39
464.52,88.68
734.05,39.25
274.74,254.21
936.84,236.94
674.25,163.26
194.48,303.52
428.62,102.68
90.0,179.77
454.73,294.85
141.87,61.47
632.18,22.1
794.78,285.84
86.46,143.25
633.63,57.96
274.08,164.78
613.9,268.42
148.46,306.2
348.78,197.2
551.4,264.22
127.8,321.59
197.21,38.79
50.54,169.13
406.27,231.98
507.96,187.99
757.77,15.530001
928.29,204.39
121.51,156.2
318.59,287.04
93.29,188.24
326.48,225.94
242.33,195.32
540.11,167.36
479.34,164.87
550.75,194.01
935.55,142.36
121.65,182.83
296.64,129.74
671.72,303.58
39.04,305.0
646.6,57.95
186.05,254.1
198.59,220.78
668.36,71.17
576.09,48.46
525.63,142.94
854.78,158.76
260.08,77.91
772.64,86.14
456.5,269.08
963.42,309.91
792.36,322.29
170.02,242.08
197.41,78.46
370.65,160.98
222.36,54.77
262.62,320.46
473.89,131.58
429.45,106.58
-0.73,252.89
160.38,240.79
132.51,268.82
817.04,167.26
741.31,262.24
463.32,240.81
839.15,164.73
972.1,152.46
104.19,192.55
217.62,221.25
582.33,55.34
5.16,144.88
332.07,151.24
597.95,237.08
853.95,206.99
100.0,161.48
630.77,17.8
109.75,150.86
353.18,81.35
331.41,294.26
737.8,77.57
826.18,58.29
730.25,147.32
725.35,46.64
646.99,298.31
307.68,214.01
581.54,177.44
201.8,149.43
769.66,140.0
1000.14,228.55
321.46,123.08
182.93,156.19
867.6,40.87
591.47,239.34
458.98,254.6
964.51,207.37
104.05,161.94
916.36,136.18
410.33,20.96
30.25,262.22
80.35,260.99
876.26,83.36
99.15,289.43
511.56,273.4
151.26,332.51
491.03,223.65
371.56,68.93
164.68,54.04
409.26,184.91
791.36,166.33
490.79,109.73
774.49,174.21
630.09,335.21
468.67,202.64
616.8,89.8
304.93,120.14
696.09,150.05
64.03,348.99
692.09,312.79
223.84,51.35
487.76,222.07
575.91,204.86
8.55,96.08
200.35,229.23
547.12,90.12
675.67,280.35
337.69,172.2
368.22,198.28
167.12,102.78
136.2,258.3
312.49,167.17
920.59,228.44
