x,y
299.98102,496.691
686.029,315.46802
250.14499,358.48102
546.627,288.5
144.61299,344.61002
440.29602,368.906
382.321,223.519
391.674,204.025
554.221,91.764
259.20602,293.631
234.356,437.885
612.58704,249.701
635.628,412.013
688.208,251.218
196.605,232.03299
139.273,224.93599
221.87,231.579
245.361,333.85202
673.504,197.065
252.499,334.69702
508.256,465.752
362.858,342.52002
479.432,314.64102
282.1,297.613
582.348,459.681
198.183,348.02103
809.50903,300.06702
94.80499,339.42502
849.684,258.20502
309.181,340.108
707.315,343.16202
318.686,443.39902
240.23999,402.587
740.465,419.33902
155.677,297.57
335.824,327.963
58.687,364.368
198.021,398.642
743.166,318.324
130.707,373.959
78.69299,348.241
249.925,364.859
474.532,434.30002
437.935,415.574
61.122,274.975
682.312,221.043
446.22302,393.39902
177.99199,304.381
386.04102,505.05103
773.614,258.457
818.991,247.355
312.765,420.18802
688.463,216.27899
811.544,353.28302
786.192,326.879
525.627,315.71002
694.39,317.979
460.448,237.787
380.13202,536.979
96.807,268.73203
426.871,397.583
550.687,220.247
461.246,217.308
161.89299,398.648
648.972,157.752
122.614,199.338
467.54,509.389
480.94202,257.93802
398.05002,214.832
505.273,263.406
53.582,259.09702
595.346,223.875
787.8,239.25299
439.46503,563.541
670.52203,371.432
708.263,302.841
184.82399,253.817
532.721,350.06302
319.226,209.414
530.795,277.24802
455.74503,359.927
684.978,415.52502
478.135,201.083
214.075,232.00099
387.28702,399.504
280.60602,299.99802
692.065,272.86902
265.367,275.728
580.825,440.71902
484.24002,459.91202
437.297,372.363
58.98,405.127
37.981,291.84702
13.568,354.92902
161.096,347.738
384.39603,603.94904
414.88,296.62003
829.469,396.76
549.721,251.109
672.992,352.97
386.626,233.041
140.062,405.269
670.54004,374.707
460.005,526.008
499.461,145.224
282.463,341.24002
435.295,524.763
252.607,419.514
145.22299,438.836
79.423996,354.84003
435.81,225.806
621.062,237.676
433.14102,268.71002
553.713,376.573
391.63702,461.073
464.377,405.879
377.89,303.104
426.114,552.229
221.967,266.94
801.606,245.853
864.132,265.07202
434.319,433.978
153.201,226.114
377.89102,528.276
281.96402,390.06302
113.173,408.94302
794.73804,365.729
481.95602,494.95
500.528,200.701
789.115,226.455
380.575,399.26
761.508,326.32
194.805,423.64
493.13202,321.80103
198.228,345.811
370.819,480.647
709.11,228.48
214.616,411.825
748.512,279.849
654.75903,252.318
669.741,226.13899
94.445,350.996
354.116,432.694
447.746,573.284
542.66003,356.303
337.963,316.91702
765.786,217.39099
137.832,297.182
380.07202,449.045
768.06604,289.208
603.679,429.50803
166.77899,412.246
264.95502,402.273
253.25499,343.135
236.138,482.984
291.25803,400.49402
393.928,410.06802
465.28,305.618
835.984,297.461
512.032,523.188
313.73,463.595
761.278,291.98502
407.616,234.562
386.0,249.76
137.73999,459.68802
292.224,288.453
340.545,544.572
312.354,433.1
529.914,550.078
546.87,468.863
544.141,451.251
681.239,255.06401
399.083,329.212
585.17303,341.72202
623.247,306.33002
247.92,221.26999
136.772,323.644
708.211,289.824
32.014,284.29602
14.912001,254.097
69.979,368.716
285.29602,452.574
115.94299,372.45502
488.974,283.987
394.32703,360.587
399.815,450.74402
253.577,429.657
657.179,299.32703
444.045,358.03
730.943,76.876
643.524,368.17902
127.58699,466.311
309.385,398.781
442.341,523.065
357.297,330.014
70.592995,349.768
176.909,512.937
672.85803,259.21503
519.61304,286.208
234.346,468.026
314.493,477.83102
322.756,381.25302
354.125,326.62402
74.619995,330.24002
228.801,464.71902
694.498,304.46503
253.564,273.73
379.717,452.686
493.19302,281.19302
386.603,560.137
853.434,274.17902
667.502,224.676
491.728,505.061
460.10602,584.463
332.135,316.144
143.42299,342.061
155.634,281.91202
366.937,422.78702
429.33902,366.11102
185.67,448.428
255.563,418.164
544.507,327.7
272.065,338.419
428.11102,553.88904
420.293,342.944
287.299,533.32
747.864,167.584
374.936,385.569
474.44202,134.524
401.379,408.30902
535.981,372.62402
103.736,399.125
335.409,460.138
435.41202,459.39102
116.211,429.866
500.09702,362.08102
200.545,354.39902
260.70502,486.05402
497.534,424.38602
644.585,266.789
212.913,367.36002
497.961,199.063
450.221,294.278
187.027,328.19202
53.037,385.552
314.614,306.21002
347.48102,420.34302
558.059,149.93599
515.80304,483.238
818.919,197.159
310.241,403.25803
227.009,457.989
203.12999,233.384
148.006,261.497
600.835,257.67502
109.55399,334.433
113.118,336.13602
490.367,445.93802
184.549,402.125
532.56,290.028
37.397,333.376
185.094,508.604
790.386,237.937
612.283,338.423
832.27,281.329
413.28702,571.571
534.956,403.18402
201.541,411.86002
522.381,462.181
321.561,454.497
691.904,277.72202
219.194,402.35602
789.98804,249.04399
227.956,398.329
224.864,400.221
550.23004,223.246
287.674,317.7
258.707,443.626
766.197,443.97
153.381,291.61002
194.333,409.461
610.649,290.59003
550.93,420.092
170.01599,507.334
582.29004,20.451
809.323,384.627
375.823,248.5
762.025,277.049
643.77704,334.95203
378.74503,388.022
219.674,385.785
518.232,350.763
294.05902,411.286
761.872,448.531
92.327995,243.151
642.45,363.46002
632.946,275.405
182.58499,238.871
511.53802,231.054
449.34302,273.367
507.66202,133.26599
774.469,335.45203
518.25104,158.888
109.713,276.22302
643.109,299.661
69.212,271.28802
129.958,298.323
607.291,326.837
810.133,356.39603
291.02502,350.13303
834.23804,230.963
806.571,253.974
121.80399,331.27103
390.43402,537.532
546.013,293.687
184.346,208.31
85.620995,260.855
675.838,312.62402
749.386,331.983
508.892,176.955
579.794,123.699
656.615,413.639
690.37,252.567
364.47302,496.379
492.458,379.867
136.192,264.03802
726.124,414.909
374.44202,622.386
