x,y
572.406,175.189
482.221,237.678
244.955,452.105
191.045,274.66702
814.52496,133.019
497.99802,310.433
386.34302,343.988
257.37402,396.728
722.746,184.106
702.29,249.079
478.424,415.367
697.484,212.45299
622.497,265.091
174.36499,333.131
371.37003,420.435
82.128006,387.816
293.635,330.562
219.14499,223.89
301.94,399.14502
423.18802,436.142
510.428,443.26
79.826004,315.13602
809.833,259.91202
155.87799,249.972
460.082,224.859
197.833,337.053
565.985,418.142
718.234,355.914
404.536,401.588
299.84302,319.30402
374.237,344.351
518.894,336.519
207.45999,390.05502
255.06499,355.901
268.86502,244.84099
737.404,241.789
749.686,303.42102
465.976,322.74503
306.978,395.017
442.43402,538.229
216.983,440.933
233.336,272.354
155.924,393.99503
148.812,438.846
223.20099,261.083
278.045,326.87003
442.24002,432.183
52.797,447.53802
230.974,366.126
466.89,198.293
726.607,413.454
458.161,280.894
170.236,333.13202
467.68802,435.131
763.131,269.065
739.86597,247.193
543.345,201.95299
188.924,238.896
399.954,406.83102
406.633,384.01102
813.88196,268.445
744.323,413.439
190.47,388.793
206.191,338.28
636.016,286.28702
253.89,361.08902
503.66,255.287
609.56195,149.287
205.991,318.95502
685.761,316.108
393.02502,462.371
769.243,316.81302
104.032005,496.66
507.129,318.354
23.922,367.849
400.393,400.276
376.738,301.883
282.78302,204.472
800.61,326.448
532.58997,281.325
458.208,438.558
406.966,216.12599
703.133,288.74402
855.233,242.467
324.764,372.332
380.422,394.80002
194.15399,466.449
382.319,431.954
393.40402,425.242
353.853,461.27902
321.92902,474.17902
591.26196,440.883
285.548,392.98602
141.952,245.135
744.958,227.88899
438.321,324.217
608.57996,321.146
305.825,387.669
717.73096,341.362
91.887,354.043
140.58499,440.768
816.371,210.984
750.649,219.959
758.966,248.502
661.545,341.452
426.044,249.67499
844.51697,105.713005
501.83002,132.05899
661.065,265.38
278.392,483.256
547.883,124.515
225.963,259.177
631.38,226.621
634.59796,239.22699
663.53796,300.36002
232.04999,479.935
236.387,448.04602
258.40402,383.72302
238.271,323.324
539.82996,264.587
512.612,277.017
214.956,310.401
557.677,155.129
423.966,451.45
284.66,456.256
734.432,216.123
154.608,475.94
648.80896,231.45299
507.444,307.69702
313.67502,484.48203
265.945,564.074
5.34,267.74503
52.788,297.562
264.405,391.187
754.993,371.083
492.04202,443.24002
456.32,560.30896
831.72296,355.44702
106.324005,216.387
506.833,253.04799
378.931,382.526
312.515,415.91202
742.175,215.336
102.635,315.10202
172.302,280.86002
529.27997,415.55502
327.903,535.47
308.907,485.23602
133.349,234.614
852.11597,274.298
333.12402,427.64102
265.674,268.979
273.77002,355.54102
480.76602,419.17502
180.634,413.436
251.36,488.45102
810.21796,311.51102
477.341,344.252
180.734,402.508
520.68896,363.017
594.08496,206.096
402.01,425.505
739.422,232.575
80.310005,360.79202
487.35703,282.625
757.795,342.471
561.634,223.03499
266.614,368.922
178.243,306.38602
558.071,433.036
558.11,366.828
285.67603,466.33902
763.373,215.91699
482.823,195.015
391.858,543.096
727.16797,157.19499
564.196,184.166
742.45496,238.021
348.405,425.75302
496.672,232.79799
786.04095,272.243
148.314,255.027
466.92603,340.2
444.983,315.133
587.956,293.29
548.24896,312.57602
817.639,272.394
348.941,442.87802
757.91095,276.368
493.73203,144.61299
309.204,321.84702
74.569,372.84
85.579,321.65802
558.615,499.122
64.781006,379.414
406.34,516.724
369.569,553.98596
664.04,333.09802
545.914,372.758
270.625,346.97
53.288998,400.01
147.731,271.552
283.704,298.483
526.842,443.30402
276.09802,460.48
814.57996,338.24002
108.303,317.59
446.96802,350.96402
814.37695,224.34799
3.751,311.186
182.737,355.461
391.173,357.57
175.52199,448.013
599.117,269.363
377.55103,308.414
650.886,349.319
294.239,245.233
496.157,203.624
451.432,431.91702
670.058,483.208
734.75195,280.24002
334.48203,432.802
438.26,554.206
520.52496,170.665
402.683,494.146
187.03299,507.423
442.24402,406.47202
476.028,405.58902
