n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
7,573.43195,172.33778,576.3437,175.46158,575.40985,177.16254,573.0982,177.68434,569.95984,176.40059,569.4205,175.58421,569.58185,174.29129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,483.2351,240.42847,484.62747,237.49382,482.6419,235.93768,480.25256,237.1129,479.96075,237.9611,480.24817,238.63544,482.97983,240.53049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,244.12888,450.56424,246.11288,450.2959,246.91554,450.91934,246.80899,453.44434,246.31836,453.89542,244.13516,454.22903,243.43463,453.98874,243.00456,452.6388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,189.46538,273.28003,190.27136,277.11383,190.67946,277.0525,192.00594,275.97598,192.74684,273.51392,190.58826,272.56024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,827.0011,118.02358,828.3389,119.5338,823.96375,139.72076,819.7107,142.29,809.8891,141.3082,802.81116,128.90099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,499.9123,311.61777,499.74988,308.92255,499.2392,308.36935,497.72876,308.15787,497.05914,308.6438,495.75714,310.91916,495.79578,311.22754,497.14822,312.53836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,385.9832,346.07993,383.83,344.28458,383.4076,342.0284,383.59326,341.64136,386.51776,341.2956,389.07474,343.309,388.6094,345.01282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,256.16614,395.84744,257.3988,395.179,258.6284,397.14105,256.84842,398.4084,256.6529,398.23517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,725.39606,183.53584,725.38556,183.9414,722.6443,186.41464,720.38275,184.3624,722.33215,182.20642,724.7829,182.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,703.9002,249.17735,703.6735,250.20432,701.80817,251.1107,700.7567,249.1524,701.4671,247.05838,702.74414,247.50533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
