n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,150.32082,111.96146,150.15082,113.033966,149.37012,113.0394,148.8525,112.47821,149.25012,111.83598,149.9966,111.65882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,201.54788,96.07616,202.68939,96.48144,202.94434,97.00858,202.017,97.418846,201.11838,96.92364,200.99802,96.365555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,376.68488,136.43488,375.69427,136.3609,375.19482,137.15486,375.2256,137.48074,376.83276,138.00848,377.10333,137.64175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,591.7797,140.24646,592.5134,142.47145,590.78674,143.89636,589.52966,143.55238,588.975,142.0922,590.56287,139.61035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,355.67944,92.76552,355.95947,91.52863,356.34372,91.141205,356.94348,91.29076,357.95737,92.54237,357.60938,93.38574,356.8475,93.80376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,67.52486,73.08905,67.70514,73.40225,67.49294,73.882996,66.16408,74.338455,65.56569,73.304146,66.188576,72.617004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,368.90454,20.004787,369.29572,21.681627,370.6291,22.020226,371.91245,20.72715,371.97214,19.886772,371.43698,19.421013,370.01727,19.232143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,436.59802,77.37605,434.95633,77.86486,434.261,77.11947,434.64185,75.46432,434.69293,75.433014,436.4621,76.80786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,611.90894,90.591194,611.14197,91.75133,609.8076,91.34634,609.69946,90.50706,610.4277,89.53073,611.23285,89.464134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,119.72499,25.109444,119.23634,25.933437,118.272354,25.878105,117.88533,25.288101,117.81014,24.718578,118.65065,24.193306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,276.6167,75.69873,278.30478,76.727104,278.03296,77.586655,277.18533,78.166275,277.02197,78.14575,275.98193,76.92996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,589.4028,58.00334,588.2461,58.54721,586.81506,57.9189,586.7964,57.549164,587.67944,55.791775,589.0811,55.8654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,174.15384,130.31265,175.04428,130.54741,175.23013,131.10774,174.4335,131.72507,173.70073,131.59457,173.57712,130.78333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,374.75778,89.17635,373.36798,89.06169,372.9589,87.56712,373.2484,87.04752,375.0959,87.61716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,617.13635,14.969965,616.0442,14.295692,615.2914,14.300741,614.3516,15.515785,614.7261,16.823687,615.382,17.125866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,41.568253,90.32469,41.59704,90.31752,42.548836,91.598755,41.714264,92.36308,41.44098,92.361916,40.935272,91.56106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,451.71512,189.50949,455.90778,193.49869,459.14493,190.80067,458.97043,188.5864,454.3855,186.80911,451.97098,188.3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
