n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
5,361.53824,456.9721,362.90155,453.6199,365.75064,454.41986,365.96817,458.54108,363.56287,459.66705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,737.94196,377.26324,741.49615,380.10202,739.24207,383.84103,736.3895,382.09964,736.7961,378.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,361.225,528.9029,360.42426,525.84973,357.66647,525.4705,355.83536,526.96484,355.8105,528.5081,356.44827,529.3274,360.91064,529.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,407.75903,286.2782,411.5856,285.7619,412.04688,286.1023,412.8704,289.9451,410.7938,292.72235,409.933,293.02795,406.3384,290.66364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,410.7284,320.36246,413.9692,319.56952,416.0853,321.3892,413.53015,325.3988,411.38135,324.97568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,429.21634,472.46393,431.61383,469.75134,434.23877,470.63043,434.24588,474.11768,433.47702,474.58524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,471.41553,131.84712,480.29623,129.78119,480.44913,129.2707,479.2596,126.13497,472.2508,125.18974,470.00827,128.80879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,204.00046,464.25436,205.21071,462.4944,208.3235,463.27197,208.90216,464.48407,206.55756,467.1739,204.73659,466.9332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,246.74924,316.46616,248.60422,319.38763,245.38223,322.64072,244.37624,322.74136,241.71912,318.52893,243.84991,316.1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,613.36847,148.04105,617.57556,149.9191,617.6246,154.49213,612.92,155.78853,610.1045,152.01428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,713.44525,238.71452,714.01447,237.72638,711.9365,233.6496,707.8927,235.20323,707.86,235.27148,709.129,239.7584,709.8368,240.05328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,325.1385,446.701,326.78104,443.672,328.199,443.39874,330.2409,444.62457,329.50842,448.7596,326.36176,449.3728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,811.6507,324.1646,810.1298,328.9496,815.4732,329.42026,816.6746,326.7512,814.2306,323.66183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,450.79276,553.31934,448.63593,555.3354,448.54727,557.1158,450.91898,558.2783,453.73062,555.7767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,478.2254,232.6834,477.28967,232.7251,475.17947,234.60255,476.3868,237.92825,478.49606,238.17368,479.7839,234.59161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,674.94275,453.55536,678.6345,453.30997,679.7169,449.8028,677.8727,448.09555,673.6505,449.95163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,440.19763,253.59398,440.08633,250.99324,437.6539,249.64711,435.10312,252.50862,435.39563,253.6498,438.45718,255.00693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,554.0003,110.729065,549.9847,112.9198,544.9408,111.86762,545.45557,105.72237,551.04126,105.02951,554.1276,108.55309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,353.6565,328.53162,352.7537,328.2231,351.4306,325.88025,355.18686,322.79358,355.67255,322.8843,357.5316,325.36087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,150.70973,422.93652,149.40112,426.0649,150.67276,428.58466,154.73755,427.025,152.86401,422.1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
