n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
7,573.73004,171.38324,577.343,175.42549,576.29706,177.62393,573.4113,178.63405,569.0088,176.70969,568.4205,175.57774,568.6746,173.87067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,483.76233,241.2782,485.5866,237.21089,482.9379,234.9825,479.4382,236.53255,478.9751,237.79237,479.26846,238.83594,483.41104,241.43274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,243.68419,449.66855,246.52214,449.38348,247.66086,450.25262,247.69116,453.91528,246.98341,454.6422,243.63689,455.09607,242.67943,454.64423,242.00575,452.68747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,188.79405,272.53888,189.95467,278.06235,190.53267,278.04166,192.71414,276.682,193.51842,272.87778,190.42351,271.5739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,827.5211,117.16941,828.9605,118.75044,824.5192,140.5523,819.8116,143.2849,809.21356,142.04553,801.827,128.7236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,500.7053,312.227,500.63104,308.4497,499.9107,307.62836,497.70065,307.15826,496.58426,307.76376,494.8502,311.3404,494.94928,311.75995,496.90854,313.50922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,386.0457,347.07797,382.9236,344.70706,382.53275,341.544,382.80264,341.02905,386.84082,340.3492,390.07462,343.29324,389.47034,345.52155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,255.52861,395.077,257.54495,394.18973,259.6246,397.22797,256.65216,399.38895,256.2911,399.16742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,726.38385,183.3802,726.38306,184.0123,722.2931,187.35095,719.3967,184.52892,721.7077,181.42537,725.5492,182.1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,704.89496,249.27968,704.4004,250.89108,701.52405,252.06949,699.7596,249.22807,701.02893,246.15948,702.9489,246.52652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,480.50595,413.82953,480.95267,416.43604,477.91135,418.3065,475.6949,417.0936,476.06503,414.20862,478.2998,412.66705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,695.7341,214.7209,699.76794,214.39647,700.177,209.94745,699.0226,209.26349,695.80536,210.01521,694.65955,211.74475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,622.9719,267.76013,625.65924,265.44064,621.9277,261.9641,619.83386,263.29425,619.91974,266.16254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,172.30011,331.5862,176.05487,330.80807,176.91954,332.39532,175.6842,335.4797,173.48027,335.85342,172.30098,335.15225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,371.85498,416.89413,371.4908,416.8106,367.82852,420.77203,367.89856,421.03848,371.65356,423.9412,374.78845,420.50632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,81.72701,390.535,84.44076,388.15045,84.10474,386.71198,81.20209,385.5981,80.029625,386.43414,79.94378,388.81064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,294.66992,328.34894,295.96176,330.11813,294.7952,332.64484,291.64328,332.50412,290.8038,331.81638,292.54578,328.2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,215.20003,224.02498,214.31894,221.14293,220.37717,218.53123,222.8717,220.68726,221.32059,226.45674,219.308,227.22885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,299.54974,399.41,300.9059,396.37393,300.95053,396.34546,302.36942,396.43845,304.18497,399.60904,302.797,401.68893,301.5648,401.68408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,424.57492,433.00098,426.07495,437.09,424.61932,438.59888,422.4081,438.7725,419.77643,434.85507,419.84647,434.52426,423.36563,432.48788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,512.8205,444.79694,513.3227,443.32013,512.2829,441.26712,508.47647,441.14008,508.2361,444.87,509.79095,445.9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,83.34759,314.97083,83.32606,315.09235,79.36647,318.12784,78.07421,317.6414,76.87142,314.90375,78.905075,312.57632,79.63269,312.44928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
